"filename", "language", "Markdown", "Python", "JSON", "comment", "blank", "total"
"c:\Users\pc\Desktop\pokemon\README.md", "Markdown", 21, 0, 0, 0, 13, 34
"c:\Users\pc\Desktop\pokemon\data\pokedex.json", "JSON", 0, 0, 40, 0, 1, 41
"c:\Users\pc\Desktop\pokemon\data\pokemon.json", "JSON", 0, 0, 253, 0, 1, 254
"c:\Users\pc\Desktop\pokemon\data\pokemons_type_stats.json", "JSON", 0, 0, 92, 0, 18, 110
"c:\Users\pc\Desktop\pokemon\main.py", "Python", 0, 6, 0, 0, 3, 9
"c:\Users\pc\Desktop\pokemon\src\Menu.py", "Python", 0, 49, 0, 0, 16, 65
"c:\Users\pc\Desktop\pokemon\src\PygameApp.py", "Python", 0, 62, 0, 1, 13, 76
"c:\Users\pc\Desktop\pokemon\src\assets_loading.py", "Python", 0, 17, 0, 3, 13, 33
"c:\Users\pc\Desktop\pokemon\src\game\Combat.py", "Python", 0, 10, 0, 0, 3, 13
"c:\Users\pc\Desktop\pokemon\src\pokemon\Pokedex.py", "Python", 0, 88, 0, 21, 26, 135
"c:\Users\pc\Desktop\pokemon\src\pokemon\Pokemon.py", "Python", 0, 37, 0, 0, 14, 51
"c:\Users\pc\Desktop\pokemon\src\pyinstaller\data_path.py", "Python", 0, 28, 0, 7, 12, 47
"Total", "-", 21, 297, 385, 32, 133, 868
